PromEnh,PromOnly
MKI67,COL4A2
CLEC16A,TSPYL4
HBS1L,HPCAL1
PPP1R3G,H2AFV
BAZ2A,PPP1R16B
AKT3,DENND6A
PRDM8,GJA1
ROR2,PACSIN1
FCRL3,ZC3H15
UGGT1,TRIM77
ERGIC1,ADD1
CADM3,SH3BP2
NAP1L1,FAM181A
SPG11,GNG3
FAM98A,TREM1
NRIP1,SMAD3
VOPP1,UBE2W
TOX,SRPK3
RCSD1,CIT
IFNGR1,NR1H4
HMCN1,ATG7
FAM181B,PPP2R2C
SYNE3,TMEM200B
CELF2,PSMB3
DREV1,PRDM11
FMNL3,CP
CHAMP1,ADGRA2
SCIN,TNFRSF19
TXK,PPP1R3G
FAM50B,RGP1
FANCC,SYT7
ARHGEF6,FUT4
NDUFB2,MATK
WDR11,KLHL17
NARS2,POM121
SP100,STK11IP
ATOH8,CTBP2
SFMBT2,ASB18
RGS10,MEA1
TRIM33,ASTE1
PDHB,TMPPE
OBP2B,TNFSF18
STK38L,RALGPS1
RAC1,REST
MYCBP2,LILRB3
SLC46A3,MAN1C1
MET,CBFB
PYROXD2,SIRT3
RNASEH2B,ZRANB3
SSH1,TGM3
CG005,POLR3B
FBXL22,BVES
SEC63,HINT2
MKRN1,F13A1
RNF20,ASPHD2
TP53BP2,SGF29
RNFT2,LNX1
ROS1,CPTP
NDUFV2,SPDL1
FAM49A,DPP8
NTN1,CCNG1
AGMAT,PPIL4
RAB11FIP4,TMEM8B
H3F3C,C20orf195
DNAJC12,UTF1
EMILIN2,PLCD1
MAP2K6,CNGA1
KIAA1551,PLCXD1
COG6,ME2
SCEL,WIZ
DIAPH1,SETD6
PDS5B,ORMDL3
DOK7,KANK1
ADRB2,ATP9B
NUDT3,GMNC
ST18,TSNARE1
ECT2,NRP1
FRK,P2RY10
RELL1,GPR137
CLEC17A,HOPX
IFNB1,CYP1B1
ZNF532,SEC16A
MYBL1,WDR4
SLC24A4,MYOZ3
PDE4DIP,KBTBD3
CD55,IFI16
RNF223,MAGEA1
WDR5B,HRH1
CD58,MT3
BNIP3L,GIPR
MRPS6,HOXC12
CCM2,TPK1
RNFT1,ZNF285
LMX1B,PHLPP1
ABCG4,ZFP64
RPLP1,HID1
NOP14,PET112L
SPTBN1,SLC2A13
HNRNPD,CYLC1
PITPNM2,HYAL1
FNDC9,RAB15
MAPK13,ZNF786
RNF144A,CCDC183
MAP4K4,FAM210A
TTLL11,TNFRSF1A
PTPRJ,SLC16A3
GLCCI1,SPANXA1
PDE2A,MAGEC1
PRND,RASSF1
KLHL5,ADGRG1
DHRS12,C8orf44-SGK3
SP140L,TEX10
CCDC84,TACSTD1
STK17A,CDC45
GEMIN6,SIT1
RASA2,ARL6IP4
GATAD2A,ERC1
CHST14,ANTXR2
CRYL1,STX19
ADARB2,ECSIT
SELE,EIF4E
CAND2,RANBP10
OLIG3,ATP8A2
CTR9,PDSS2
SCYL3,POLB
CACNA2D4,FCN2
TRH,STATH
ITGAE,TMEM55A
PCMTD1,GPX1
AFF1,CNOT6L
NT5DC3,HACD4
C9orf78,C5orf67
HFE,PSG3
KIF13B,ZNF217
INVS,DPH7
CD44,LRRC39
GMDS,SMYD1
EPG5,PIGQ
ATF7IP2,PCDH17
SPP2,CLDN3
CHFR,CCDC168
COX4I1,MIEF1
VSIG4,TRPC1
LPIN2,MOSPD3
FAM204A,GJC2
COA1,NUP50
ULK2,UCHL3
FAM83D,TMEM116
RNF4,TTLL5
SMO,RNF4
LRRC74B,EML5
GK,GSTO1
STOM,TCTA
DHH,KCTD19
ROPN1L,OCLN
UXS1,HES7
NEUROD4,TLR4
ATP5O,KRAS
ADGRB2,DIP2A
TMEM18,CAPN9
FMNL1,EPSTI1
ZNF609,NTSR1
CLVS1,C9orf24
COTL1,RAB11A
DSP,EIF4A2
ELOVL6,RPS15A
GALNT7,MNX1
CACNA1B,COX6B2
SMARCA5,RAB5B
CCR6,GET4
SLC25A30,PWWP2B
PP1201,FSCN1
CHD9,CPS1
INO80D,ARID1A
USP20,IGDCC4
MMP25,SP8
OBSCN,TTLL10
WISP3,CYP24A1
UBE2R2,BCL2L14
ZDHHC4,SLC24A4
SLC5A3,BZRP
AKIRIN2,ACTG2
DNAH10,CLDN4
LRRK2,DHX32
TMEM8B,RPL12
ERV3-1,PRRG3
KCNC4,SPATA24
ILKAP,ERF
DNAJB4,PNMA3
DNHD1,FAM26D
TANK,SOBP
IRF2BP2,OTUB2
SCAI,IL23A
SETX,REXO1
CHD6,CCS
TMEM131,LAT
SLC9B1,CARD19
XKR6,SLC2A12
TMEM178A,SHROOM1
WDFY1,OPCML
PATZ1,KIF24
GDPD5,PI15
ST14,KRBA2
DGKG,GHRHR
CGGBP1,ACVR1
CXCR3,COMMD3
SYDE2,NRG1
EXT1,ANXA9
C12orf49,BF
RASL10A,SLC12A4
CSTB,OLFM2
SETD9,RANGRF
CCNL1,RNPS1
PRKAG2,LRIT3
WDR44,AOC1
SDC3,LRP1
GPHA2,TAF8
REL,ATXN7L3
SLC29A4,TTC16
MAP4,PDF
PUM2,RABGAP1
PRAME,PDK2
SLC18A2,PSD4
TLR7,NUDT7
NOCT,RAB9A
TOPBP1,LAPTM4B
ZNF169,CKLF-CMTM1
FAM117B,ZNF623
SLTM,CAAP1
ATXN7,TMEM260
TCRA,RSPO2
YWHAQ,SLC6A8
PPP1R16B,RAD17
NR2C2,TNFRSF4
BCAT1,ADGRF1
KDM4C,BIRC3
MKI67IP,ALKBH2
TET3,BCL2L1
CCDC88C,RPL18A
SPATA31A5,POLK
DUSP6,EXOSC3
KAT6B,GPR39
RASGEF1A,NFYB
ARL6IP6,IMP3
ACSL3,ADAMTS13
HINT3,RASGRP4
PDK4,FAM122A
TAS2R3,SLC35D2
MIPEP,RBM4B
GRAP,GIF
DTNBP1,INSR
B3GNTL1,ANK2
TRAF6,SKI
SEH1L,LYPD6
CXXC5,PLEKHG3
RTKN2,FNBP4
DACT3,PCDHGB5
CLINT1,LCN9
SMAD4,NTPBP
TLK2,MTA2
ZFAND3,CHPF
PBP,CASC4
HSD17B12,MAD2L1BP
VPS54,CCR3
ITGB6,ACER3
ARHGAP10,CHCHD4
POLB,TULP1
IL15,SMC3
BMP8B,STK25
SLC5A11,MYCBPAP
RISC,NEK1
ADNP,CDCA5
PMAIP1,STRADA
SREBF1,LARP4B
APOA1,TMEM135
SPTA1,C1GALT1
KCNMB1,CALM3
DUSP22,ARL3
ZNF594,PSG5
KCNN1,RGPD6
PPP3R1,OR5D13
GTF3C1,PCDHGA12
RALGPS1,CHD4
CKLFSF6,POLR2F
SMYD3,LDLRAD4
AJUBA,TPD52L1
NFKBIZ,SCG3
ASF1A,TMEM97
AUTS2,RNF20
CCDC177,MARCH2
GNG7,PDZD4
MRPS9,RGS9
PRPF4B,GADL1
EMILIN3,VGLL4
ARID4A,VDAC3
ZNF397,FAM65A
SUMO4,NSD1
NOC4,CMC2
TRIM47,TRIM49D2
UBL3,ADAMTS17
BOLA2,NGLY1
C6orf1,PCDHGB6
GNB5,CLASP2
LAT2,ZNF12
PRRC2C,DMKN
CLNS1A,ZSCAN30
PARP8,ABCA2
ZIC2,MTFR1
LRRC8B,CDCA2
MTSS1,TMEM200C
ARFIP1,TDRD7
CP,RMDN1
SEC24C,MTMR4
CA8,GRIN1
OR52N2,ANKRD17
C10orf67,CLTCL1
SERPINB1,COL25A1
CDK19,ROBO2
INSL5,EDIL3
PPP1CB,FAM13A
DKK3,ZWILCH
MAP3K7CL,INSC
ENO1,SLC16A10
CCDC91,NEDD4L
ALKBH6,PER1
TBC1D19,SEMA5A
CD200,PGAM5
NEB,KDM7A
COL15A1,HACD1
VPS37B,CCNH
MMP27,SHTN1
PRKCZ,TANC2
GNG2,ZBTB4
RAD23A,KCNU1
CPQ,RGS13
RUNX2,AFP
BIN2,RSRC2
HIST2H4A,ZC3H14
FAM111B,AHNAK2
CXCL17,MMP28
DNAJC28,PLEKHG6
ZC3H12D,SLC25A16
MMP17,PAICS
RXRA,RNF165
ZNF750,LGALS3
NFAM1,TAP1
KLHL6,ADAP2
PIK3IP1,LUZP6
SPRY2,ITPRIPL1
LRBA,HYAL3
SEC62,PNCK
ZNF736,RAB30
PDE8A,BUB1
MACROD2,DTX3L
DOCK11,CXXC1
VAPA,RTTN
CTSE,LIMK2
KLHL31,AFMID
FAM221B,GNA13
SIX3,RUVBL1
GTF3A,MAP4K5
TIGD4,RNF185
MCFD2,PNRC2
FNDC1,FMOD
ARAP3,NRARP
NSRP1,RABGEF1
ELMO2,FDFT1
TP73,TRIM5
KANK4,TACC1
FGFR1OP2,PPIL3
HAUS1,DOCK4
IGFBP3,C1orf105
MYO18B,NXF2
SPACA1,C9orf3
PSEN1,AGAP3
UPF2,COG5
TBC1D5,MYL6B
USPL1,DEFA1B
UBE2W,GIMAP6
CKLFSF7,LRTM2
UHRF1BP1L,FAM229B
HEATR6,SPATA31A5
EPS15,ARRDC5
BRD4,LYRM7
ROCK1,COG7
ZBTB2,TDRD12
STIM2,AVPR2
FAM46C,SLC28A1
CUBN,FGD3
PAPOLA,GNRH1
BLNK,EMP3
MTHFD1L,OTUD7B
C1QTNF2,CLCNKA
CAB39,ZNF248
CDK5RAP1,HSPB9
CCR2,MCMDC2
DEFB116,CCDC189
GRAMD4,APBB1
RRAS2,KDM3A
H19,SLC25A1
RHEBL1,MED27
C4orf51,ERMARD
CDC42BPB,PRB2
FLT3,CUL4A
