PromEnh,PromOnly
KIAA0196,RAP1A
TGFB2,SLC18A3
DHRS12,B3GNT6
DERL1,SPG20
SLC15A4,LY6E
COL15A1,ADCY7
SHQ1,NRF1
GPC4,PADI2
MICAL2,NPW
JAG1,HCST
DIRAS3,CXCL9
SLMAP,C4orf51
SGCD,RNF128
ZFAND3,KRT6A
IAH1,CYB561
DNAJB6,RALYL
DOK7,TXK
LRRC8D,LHX2
COL23A1,PTAFR
ZBED2,SLC30A2
B3GNT6,AKAP7
SLC22A31,FSHR
MID1,PRR7
INTS6,FOXJ3
AGR2,G2E3
LDLRAD4,PMCH
FAM43A,ANKRD30B
ZC3HC1,STATH
COLEC10,KCNH3
ZBTB43,TM4SF3
FZD4,SBSPON
KCMF1,TNFRSF4
CFAP97,GDA
UBC,MTRNR2L10
KLHL38,SPINK13
AC013461.1,INF2
TSC22D1,NCAN
CCDC90B,ZNF728
ADAMTSL1,KCTD4
RPL31,SLC46A2
H6PD,NLRP1
ACSL5,STARD3
GSE1,SGCD
PDE9A,RGS6
RASSF8,HTR2C
CPSF3,TMEM239
CBWD2,UPK2
CACNB2,DNAL4
FZD8,VDAC3
STXBP5,SMLR1
VSTM4,CEP295NL
OXGR1,CNR1
ROR1,NRG1
DEXI,ZNF730
TSC22,NTRK3
ATG5,GAGE10
KCNJ2,PIANP
TMPRSS6,PSAPL1
LCMT1,PDE4A
RFPL4B,SH3TC1
EPC1,TMEM211
TAB2,ALPK1
CNIH3,IQGAP2
ESM1,PCDH1
TARBP1,HFM1
ARHGAP21,MROH9
VANGL1,TREM1
SLC46A3,JPH3
RPS6KA2,CPNE5
ABL2,PTPRU
SH3TC1,KIF5C
ARHGEF10,TNNI3K
GLT1D1,SLC16A7
SLC13A4,C9orf3
ZBTB20,GABRA5
ACAA2,LIM2
MYO18A,SLC13A5
BCAT1,ADAMTS10
KIAA0922,CDC42EP5
PARVA,C2CD2
WSB1,C6orf25
FAM174A,ARHGEF3
RNFT2,GRP
XDH,TENM2
ZNF407,POC5
CSNK1G3,SKI
AMMECR1,NGFR
HSD17B4,BRSK2
TSHZ1,EVL
EBF1,FOXA2
TMEM130,FILIP1L
ENPP2,RHOV
AKIRIN1,CRISP1
LYRM4,HMGB4
CD36,TEX2
CAV1,ADH4
TEX26,JMJD1C
WDFY3,DLEU7
ACKR3,PAQR5
TXNL,PCBP3
FAM98A,NEURL1B
